How did the Baltimore bridge disaster happen? | Explained - The Hindu,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL2ludGVybmF0aW9uYWwvaG93LWRpZC10aGUtYmFsdGltb3JlLWJyaWRnZS1kaXNhc3Rlci1oYXBwZW4tZXhwbGFpbmVkL2FydGljbGU2ODAwMTIyNi5lY2XSAXtodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9pbnRlcm5hdGlvbmFsL2hvdy1kaWQtdGhlLWJhbHRpbW9yZS1icmlkZ2UtZGlzYXN0ZXItaGFwcGVuLWV4cGxhaW5lZC9hcnRpY2xlNjgwMDEyMjYuZWNlL2FtcC8?oc=5"" target=""_blank"">How did the Baltimore bridge disaster happen? | Explained</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>"
Indian Expert Kamal Kishore to Lead UN’s Disaster Risk Reduction Efforts - Adda247,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMia2h0dHBzOi8vY3VycmVudGFmZmFpcnMuYWRkYTI0Ny5jb20vaW5kaWFuLWV4cGVydC1rYW1hbC1raXNob3JlLXRvLWxlYWQtdW5zLWRpc2FzdGVyLXJpc2stcmVkdWN0aW9uLWVmZm9ydHMv0gFvaHR0cHM6Ly9jdXJyZW50YWZmYWlycy5hZGRhMjQ3LmNvbS9pbmRpYW4tZXhwZXJ0LWthbWFsLWtpc2hvcmUtdG8tbGVhZC11bnMtZGlzYXN0ZXItcmlzay1yZWR1Y3Rpb24tZWZmb3J0cy9hbXAv?oc=5"" target=""_blank"">Indian Expert Kamal Kishore to Lead UN’s Disaster Risk Reduction Efforts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Adda247</font>"
UN secy-general appoints top NDMA official as special representative for disaster risk reduction - The Indian Express,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMihgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvd29ybGQvdG9wLW5kbWEtb2ZmaWNpYWwta2FtYWwta2lzaG9yZS1kaXNhc3Rlci1yaXNrLXJlZHVjdGlvbi1yZXByZXNlbnRhdGl2ZS11bml0ZWQtbmF0aW9ucy05MjM3NjMyL9IBiwFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvd29ybGQvdG9wLW5kbWEtb2ZmaWNpYWwta2FtYWwta2lzaG9yZS1kaXNhc3Rlci1yaXNrLXJlZHVjdGlvbi1yZXByZXNlbnRhdGl2ZS11bml0ZWQtbmF0aW9ucy05MjM3NjMyL2xpdGUv?oc=5"" target=""_blank"">UN secy-general appoints top NDMA official as special representative for disaster risk reduction</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>"
New Special Representative for Disaster Risk Reduction - United Nations Office for Disaster Risk Reduction,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LnVuZHJyLm9yZy9uZXdzL21yLWthbWFsLWtpc2hvcmUtaW5kaWEtc3BlY2lhbC1yZXByZXNlbnRhdGl2ZS1kaXNhc3Rlci1yaXNrLXJlZHVjdGlvbtIBAA?oc=5"" target=""_blank"">New Special Representative for Disaster Risk Reduction</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United Nations Office for Disaster Risk Reduction</font>"
The impact of the Baltimore bridge disaster | Mint - Mint,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL3RoZS1pbXBhY3Qtb2YtdGhlLWJhbHRpbW9yZS1icmlkZ2UtZGlzYXN0ZXItMTE3MTE1MTI5OTQwOTUuaHRtbNIBYWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL3RoZS1pbXBhY3Qtb2YtdGhlLWJhbHRpbW9yZS1icmlkZ2UtZGlzYXN0ZXIvYW1wLTExNzExNTEyOTk0MDk1Lmh0bWw?oc=5"" target=""_blank"">The impact of the Baltimore bridge disaster | Mint</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>"
Sukhu flays BJP over disaster aid - Hindustan Times,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS9jaXRpZXMvY2hhbmRpZ2FyaC1uZXdzL3N1a2h1LWZsYXlzLWJqcC1vdmVyLWRpc2FzdGVyLWFpZC0xMDE3MTE3Mzc4NjkzNjEuaHRtbNIBcGh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS9jaXRpZXMvY2hhbmRpZ2FyaC1uZXdzL3N1a2h1LWZsYXlzLWJqcC1vdmVyLWRpc2FzdGVyLWFpZC0xMDE3MTE3Mzc4NjkzNjEtYW1wLmh0bWw?oc=5"" target=""_blank"">Sukhu flays BJP over disaster aid</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>"
Quake-ready? DDMA carries out drills at 55 locations to find out - The Times of India,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMiiAFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9jaXR5L2RlbGhpL3F1YWtlLXJlYWR5LWRkbWEtY2Fycmllcy1vdXQtZHJpbGxzLWF0LTU1LWxvY2F0aW9ucy10by1maW5kLW91dC9hcnRpY2xlc2hvdy8xMDg4NjE3NjAuY21z0gGMAWh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvZGVsaGkvcXVha2UtcmVhZHktZGRtYS1jYXJyaWVzLW91dC1kcmlsbHMtYXQtNTUtbG9jYXRpb25zLXRvLWZpbmQtb3V0L2FtcF9hcnRpY2xlc2hvdy8xMDg4NjE3NjAuY21z?oc=5"" target=""_blank"">Quake-ready? DDMA carries out drills at 55 locations to find out</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>"
"BJP stalled central assistance during 2022 Monsoon disaster, played politics: Sukhu - ThePrint",2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMidGh0dHBzOi8vdGhlcHJpbnQuaW4vaW5kaWEvYmpwLXN0YWxsZWQtY2VudHJhbC1hc3Npc3RhbmNlLWR1cmluZy0yMDIyLW1vbnNvb24tZGlzYXN0ZXItcGxheWVkLXBvbGl0aWNzLXN1a2h1LzIwMjA0NTUv0gF4aHR0cHM6Ly90aGVwcmludC5pbi9pbmRpYS9ianAtc3RhbGxlZC1jZW50cmFsLWFzc2lzdGFuY2UtZHVyaW5nLTIwMjItbW9uc29vbi1kaXNhc3Rlci1wbGF5ZWQtcG9saXRpY3Mtc3VraHUvMjAyMDQ1NS8_YW1w?oc=5"" target=""_blank"">BJP stalled central assistance during 2022 Monsoon disaster, played politics: Sukhu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font>"
Greece's conservative govt survives no-confidence motion called over deadly rail disaster - Press Trust of India,2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5wdGluZXdzLmNvbS9zdG9yeS9pbnRlcm5hdGlvbmFsL2dyZWVjZS1zLWNvbnNlcnZhdGl2ZS1nb3Z0LXN1cnZpdmVzLW5vLWNvbmZpZGVuY2UtbW90aW9uLWNhbGxlZC1vdmVyLWRlYWRseS1yYWlsLWRpc2FzdGVyLzEzOTA0NzbSAQA?oc=5"" target=""_blank"">Greece's conservative govt survives no-confidence motion called over deadly rail disaster</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Press Trust of India</font>"
"Baltimore Bridge Disaster: Indian Crew's Heroism Tainted By Racist Cartoon, Sparks Outrage - Oneindia",2024-03-30 14:38:33,"<a href=""https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5vbmVpbmRpYS5jb20vaW50ZXJuYXRpb25hbC9iYWx0aW1vcmUtYnJpZGdlLWRpc2FzdGVyLWluZGlhbi1jcmV3LWhlcm9pc20tdGFpbnRlZC1ieS1yYWNpc3QtY2FydG9vbi1zcGFya3Mtb3V0cmFnZS0zNzg3MDY5Lmh0bWzSAZIBaHR0cHM6Ly93d3cub25laW5kaWEuY29tL2FtcGh0bWwvaW50ZXJuYXRpb25hbC9iYWx0aW1vcmUtYnJpZGdlLWRpc2FzdGVyLWluZGlhbi1jcmV3LWhlcm9pc20tdGFpbnRlZC1ieS1yYWNpc3QtY2FydG9vbi1zcGFya3Mtb3V0cmFnZS0zNzg3MDY5Lmh0bWw?oc=5"" target=""_blank"">Baltimore Bridge Disaster: Indian Crew's Heroism Tainted By Racist Cartoon, Sparks Outrage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia</font>"
